responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,menggunakan_ecommerce?,ecommerce_pilihan_1,ecommerce_pilihan_2,ecommerce_pilihan_3,ecommerce_pilihan_4,ecommerce_pilihan_5,tujuan_1,tujuan_2,tujuan_3,tujuan_4,tujuan_5,alasan_1,alasan_2,alasan_3,alasan_4,alasan_5,keluhan_1,keluhan_2,keluhan_3
1020,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,handphone,,tiket pesawat,buku/koleksi,,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
1021,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,handphone,makanan/minuman,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
1022,Laki – laki,21-30 tahun,S1,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,,,,,,,,,,,Dapat belanja kapan saja dan di mana saja,,,,
1023,Laki – laki,15-20 tahun,S1,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
1024,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,,buku/koleksi,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,Pembayaran telah dilakukan tetapi tidak terdeteksi/ terkonfirmasi,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
1025,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
1026,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,,,ya,Tokopedia,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,makanan/minuman,tiket pesawat,,Lebih murah,Banyak promo,,Dapat belanja kapan saja dan di mana saja,,,,
1027,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,,Traveloka,,,,tiket pesawat,buku/koleksi,Lebih murah,Banyak promo,,,,,,
1028,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,Tokopedia,Shopee,,,,,,,tiket pesawat,,,Banyak promo,,,,,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
1029,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,,,,tiket pesawat,,,Banyak promo,Lebih banyak pilihan toko dan produk,Dapat belanja kapan saja dan di mana saja,Menghindari keramaian (karena COVID-19),,,Barang yang diperoleh tidak sesuai dengan spesifikasi/ tampilan di situs
1030,Perempuan,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,,Shopee,,"Gojek (GoFood, GoShop, dll)",,fashion,,makanan/minuman,tiket pesawat,buku/koleksi,,,,Dapat belanja kapan saja dan di mana saja,,,,
